Collection,Year,Part,Model,Number,Stamp,Condition,Origin,URL,Tags,Quantity,Image,Note
Street Beasts 5-pack,2024,2/5,Steer Clear,,,Opened,Mommy,,,,,
Street Beasts 5-pack,2024,3/5,Tomb Up,,,Opened,Mommy,,,,,
Street Beasts 5-pack,2024,4/5,Double Demon,,,Opened,Mommy,,,,,
Street Beasts 5-pack,2024,5/5,Purrfect Speed,,,Opened,Mommy,,,,,
HW 70s vs 90s,2025,6/10,1971 Lamborghini Miura SV,78/250,,Opened,Grandpa,,,,1971 Lamborghini Miura SV (HW 70s vs 90s 2025) [black].jpeg,
HW Wagons,2025,3/5,Volvo 240 Drift Wagon,227/250,,Opened,Grandpa,,,,,
HW EV,2025,10/10,Nissan Leaf Nismo RC_02,168/250,,New on card,Lidl,,TH,2,,
Halloween Series,2025,3/5,Haul-O-Gram,,,Opened,Lidl,,,,,
X-Raycers,2025,6/10,El Viento,65/250,,Opened,Walmart,,,,,Hot Wheels Let’s Race
Fast Foodie,2025,2/5,Sushi Tuner,106/250,,Opened,Walmart,,,,,
HW Celebration Racers,2025,10/10,Mo-Stash,241/250,,Opened,Walmart,,,,,
X-Raycers,2022,1/5,Cosmic Coupe,122/250,,New on card,,,,,,Best for Track / Glow in the dark
Quarter Mile Heroes,2024,4/5,Retro-Active,237/250,,New on card,,,,,,Hot Wheels Let’s Race / Glow in the dark
Muscle Mania,2025,9/10,2020 Dodge Charger Hellcat,240/250,,New on card,Walmart,,,,,
Muscle Mania,2025,5/10,1969 Dodge Coronet Superbee,208/250,,New on card,Walmart,,,,,
HW Hot Trucks,2017,3/10,Baja Hauler,270/365,,Opened,Dima,,,,,
HW City Works,2015,,So Plowed,6/250,,Opened,Dima,,,,,
Nightburnerz,2018,3/10,2015 Mazda MX-5 Miata,40/365,,Opened,Dima,,,,,
HW Rescue,2017,4/10,Hover Storm,40/365,,Opened,Dima,,,,,
HW Hot Trucks,2017,4/10,2017 Ford F-150 Raptor,10/365,,Opened,Dima,,,,,
Silver Series II,1996,1/4,CAT Dump Truck,420,,Opened,Grandpa,,,,,
Multipack Exclusive,2025,,2015 Jaguar F-Type Project 7,,,Opened,Grandpa,,,,,
HW Glow Wheels,2016,2/10,F1 Racer,47/250,,Opened,Dima,,,,,Glow in the dark
Multipack Exclusive,2020,,Cyber Speeder,,,Opened,,,,,,Glow in the dark
X-Raycers,2025,10/10,Salt Shaker,136/250,,Opened,Sandy,,,,,
Peak Pursuit,2025,10/10,Polestar TRX,248/250,,Opened,Walmart,,,,,
Wild Widebody,2025,5/5,1984 Audi Sport Quattro,246/250,,New on card,Target,,TH,,,
X-Raycers,2025,8/10,Power Rocket,109/250,,Opened,Dollar Tree,,,,,
HW Wagons,2025,2/5,Track Dwagon,184/250,,Opened,Grandpa,,,,,
HW Wagons,2025,1/5,Drift’n Break,183/250,,Opened,Grandpa,,,,,
HW Art Cars,2025,9/10,Long Bloc,135/250,,Opened,Mommy,,,,,Hot Wheels Let’s Race
HW Art Cars,2025,9/10,Long Bloc,135/250,,Opened,Mommy,,,,Green,Hot Wheels Let’s Race
Final Run,2005,5/5,Big Chill,075,,Opened,Flea Market,,,,,
1998 First Editions,1998,2/40,Slideout,640,,Opened,Flea Market,,,,,
Street Beasts,2016,4/10,Scorpedo,204/250,1506N,Opened,Flea Market,,,,,
2000 First Editions,2000,36/36,Blast Lane,096,,Opened,Flea Market,,,,,type:Motorcycle
Spy Print Series,1997,2/4,Alien,554,,Opened,Flea Market,,,,,
Crank Itz,2004,1/5,Custom 1959 Cadillac,143,,New on card,Flea Market,,,,,
Compact Kings,2022,4/5,Custom 1970 Honda N600,141/250,,New on card,Flea Market,,,,,
Mainline,2000,,Phantastique,245,,Used,Flea Market,,,,,
Virtual Collection,2000,,Speed-a-Saurus,104,,Opened,Trade,,,,,
Factory Fresh,2024,10/10,1966 Triumph Tiger 100,190/250,,Opened,Trade,,,,,type:Motorcycle
Track Fleet,2025,,Nitro Rail,,,Opened,Trade,,,,,type:Train
Track Fleet,2025,,Racing Convoy,,,New on card,Trade,,,,,
DreamWorks Character Cars,2023,,Donkey,,,Opened,Trade,,,,,Shrek
HW Metro,2021,9/10,Ain’t Fare,155/250,,Used,Trade,,,,,type:Bus
Pop Culture: Jurassic Park,2025,,1992 Jeep Wrangler Sahara,,,New on card,Trade,,PREMIUM,,,
MBX Off-Road,2023,7/100,1970 Honda N600 Off Road,,,New on card,Flea Market,,,,,
Matchbox Mainline,2025,74/125,2017 Honda Civic Hatchback,,,New on card,,,,,,
HW Race Day,2025,1/10,Porsche 911 GT3,74/250,,New on card,,,,,,
Safari Mode,2025,2/5,Porsche 911 Rallye,154/250,,New on card,,,,,,
MBX Showroom,2024,,Porsche 918 Spyder,45/100,S46A,New on card,,,,,,
MBX Showroom,2024,,Porsche 911 Targa 4,60/100,S46A,New on card,,,,,,
MBX Germany,2024,15/24,Porsche 911 GT3,,T19A,New on card,,,,,,
MBX Adventure,2025,,1985 Porsche 911 Rally,120/125,T52A,New on card,,,,,,
MBX Highway,2023,,1985 Porsche 911 Rally,80/100,S12A,New on card,,,,,,
HW Remote Adventures,2024,1/5,2010 Toyota Tundra,,,Opened,Debbie & Mindy,,,,,
HW Remote Adventures,2024,2/5,Dune-A-Soar,,,Opened,Debbie & Mindy,,,,,
HW Remote Adventures,2024,3/5,2020 Ram 1500 Rebel,,,Opened,Debbie & Mindy,,,,,
HW Remote Adventures,2024,4/5,Custom Ford Bronco,,,Opened,Debbie & Mindy,,,,,
HW Remote Adventures,2024,5/5,2020 Toyota Tacoma,,,Opened,Debbie & Mindy,,,,,
MBX Marine Rescue,2025,1/5,Cliff Hanger,,,Opened,Debbie & Mindy,,,,,
MBX Marine Rescue,2025,2/5,4x4 Scrambulance,,,Opened,Debbie & Mindy,,,,,
MBX Marine Rescue,2025,3/5,Deep Diver,,,Opened,Debbie & Mindy,,,,,
MBX Marine Rescue,2025,4/5,Ford Explorer,,,Opened,Debbie & Mindy,,,,,
MBX Marine Rescue,2025,5/5,Rapids Rescue,,,Opened,Debbie & Mindy,,,,,
MBX Rescue Rookies,2002,13/13,Water Pumper,75/75,2402EA,New on card,Debbie & Mindy,,,,,type:Fire truck
MBX Airport Alarm,2002,1/4,Airport Pumper,41/75,2402EA,New on card,Debbie & Mindy,,,,,type:Fire truck / Airport Fire Truck
Matchbox Hero City,2003,1/5,Highway Rescue Fire Truck,1,,New on card,Debbie & Mindy,,,,,type:Fire truck / Highway Fire Pumper
Experimotors,2025,7/10,Decidedly Go,188/250,,Opened,,,,,,8 Ball
Experimotors,2025,7/10,Decidedly Go,188/250,,Opened,Walmart,,,,Decidedly Go (Experimotors 2025) [teal].jpeg,8 Ball
Experimotors,2025,6/10,Porsche 911 Carrera Clip,187/250,,New on card,Walmart,,,,,Keychain
Fast Foodie,2025,4/5,Chill Mill,180/250,,New on card,,,TH,,,Hot Wheels Let’s Race
HW City,2015,,Loopster,75/250,1455N,Opened,Flea Market,,,,,
Sweet Rides,2023,2/5,Sweet Driver,9/250,,Opened,Flea Market,,,,,
Bugging Out,1999,1/4,Treadator,941,,Opened,Flea Market,,,,,
HW Sports,2023,1/5,Skate Grom,42/250,,Opened,Flea Market,,,,,Tony Hawk
MBX Adventure City,2013,,Street Cleaner,5/120,,Opened,Flea Market,,,,,
Street Beasts,2017,1/10,Turbo Rooster,89/365,2906N,Opened,Flea Market,,,,,
HW City,2015,,Backdrafter,5/250,3284N,Opened,Flea Market,,,,,
Biohazard Series,1998,1/4,Hydroplane,717,,Opened,Flea Market,,,,,
HW Ride-Ons,2017,2/5,Aisle Driver,234/365,0797N,Opened,Flea Market,,,,,Best for Track
HW Games,2016,10/10,Tour de Fast,240/250,1506N,Opened,Flea Market,,,,,Best for Track
HW Digital Circuit,2016,5/10,Honda Racer,25/250,,New on card,Flea Market,,,,,Best for Track
HW J-Imports,2023,8/10,1973 Honda Civic Custom,117/250,,New on card,Flea Market,,,,1973 Honda Civic Custom (HW J-Imports 2023) [orange].jpeg,
Compact Kings,2022,4/5,Custom 1970 Honda N600,141/250,,New on card,Flea Market,,,,Custom 1970 Honda N600 (Compact Kings 2022) [short].jpeg,
HW Speed Graphics,2017,2/10,Volkswagen Kafer Racer,156/365,,New on card,Flea Market,,,,,
Easter Eggsclusives,2012,,Volkswagen SP2,,,New on card,Flea Market,,,,,
HW First Response,2025,1/5,Ford Performance Supervan 4,17/250,,New on card,Flea Market,,TH,,,
HW Race: Night Storm,2014,,Cloud Cutter,188/250,3643N,New on card,Flea Market,,,,,Great for Track / Glow in the Dark
HW Race: Night Storm,2015,,Bedlam,169/250,0895N,New on card,Flea Market,,,,,Best for Track / Glow in the dark
HW Glow Wheels,2016,9/10,Spectyte,54/250,2715N,New on card,Flea Market,,,,,Glow in the dark
Hybrid Speed,2025,5/5,2017 Acura NSX,,,New on card,Walmart,,,,,
Matchbox Mainline,2025,,Pierce Arrow XT Fire Engine,,,Opened,,,,,,type:Fire truck
MBX Heroic Rescue,2015,,1975 Mack CF Pumper,,,Opened,,,,,,type:Fire truck
MBX County Rescue,2024,5/6,Flame Tamer,,,Opened,,,,,,type:Fire truck
MBX Metal,2006,,Dennis Sabre Ladder Truck,,,Used,,,,,,type:Fire truck
MBX Fire 5-pack,2015,,Flame Tamer,,,Used,,,,,,type:Fire truck
MBX Rescue,2025,,Scania P 360 Fire Engine,,,Opened,,,,,,type:Fire truck
MBX Fire 5-pack,1998,,Airport Fire Truck,,,Used,,,,,,type:Fire truck
MBX Fire 5-pack,1998,,Mack Auxiliary Power Truck,,,Used,,,,,,type:Fire truck
MBX Go Diego Go 5-pack,2008,,Mack Auxiliary Power Truck,,,Used,,,,,,type:Fire truck
MBX Fire Fighters,2000,2/5,Snorkel,,,Opened,Flea Market,,,,,type:Fire truck
MBX Road Trip,2024,,Freightliner Business Class M2 106,,,Opened,,,,,,type:Fire truck
MBX Off-Road,2022,,MBX Rescue Dasher,,,Opened,,,,,,type:Fire truck
MBX Heroic Rescue,2016,,Blaze Blitzer,,,Opened,,,,,,type:Fire truck
MBX Metro,2024,,International Ambulance,,,Opened,,,,,,
HWMT Big Rigs,2024,,HW 5 Alarm,,,Opened,Ross,,Monster,,,type:Fire truck
MBX Sky Busters,2024,13/32,SpaceX Starship,,,New on card,Publix,,,,,
MBX Sky Busters,2024,22/32,SpaceX Dragon,,,New on card,Publix,,,,,
MBX Sky Busters,2025,20/32,SpaceX Falcon Heavy,,,New on card,Publix,,,,,
Matchbox Mainline,2022,,SpaceX Dragon,,,New on card,Publix,,,,,
MBX Metro,2024,,Tesla Model X,,,New on card,,,,,,SpaceX
MBX Off-Road,2018,5/20,NASA S.E.V / Chariot,,,New on card,Flea Market,,,,,
MBX Sky Busters,2025,13/32,Space Shuttle Orbiter,,,New on card,Publix,,,,,NASA
MBX Highway,2024,,Blaze Buster,,,Opened,,,,,,type:Fire truck
MBX Working Rigs,2025,5/16,Scania Tactical Command Center,,,Opened,Walmart,,,,,type:Fire truck
MBX Working Rigs,2024,,Pierce Quantum Aerial Ladder,,,New on card,Trade,,,,,type:Fire truck / u/Competitive_Web_4170
HW Art Cars,2025,10/10,1967 Austin Mini Van,169/250,,Opened,Grandpa,,,,,
Peanuts 75 Years,2025,3/5,Super Gnat,,,Opened,Grandpa,,,,,Charlie Brown
HW First Response,2024,5/10,Nissan Patrol Custom,34/250,,Opened,,,,,,
Compact Kings,2022,2/5,Volkswagen Beetle,42/250,,Opened,,,,,,VW Bug
Multipack Exclusive,2025,,Custom 1962 Chevy,,,Opened,,,,,,
57th Anniversary Mix 2,2025,5/6,Porsche Cayman S,,,New on card,Publix,,,,,
Vintage Racing Club,2024,2/5,Toyota 2000GT,,,New on card,Publix,,,,,
Vintage Racing Club,2024,3/5,1969 Ford Mustang Boss 302,,,New on card,Publix,,,,,
Vintage Racing Club,2024,5/5,Custom Datsun 240Z,,,New on card,Publix,,,,,
MBX Models of Yesteryear,,,1932 Ford AA Truck,,,New in box,Steve,,,,,
MBX Models of Yesteryear,,,Caterpillar 1933 Diamond T Low-Wall Truck,,,New in box,Steve,,,,,
MBX Models of Yesteryear,,,1955 Ford F 100,,,New in box,Steve,,,,,
MBX Super Star Transporters,,,Kenworth Transporter (Neil Bonnett),,,New on card,Steve,,,,,
MBX Super Star Transporters,,,Kenworth Transporter (Ken Schrader),,,New on card,Steve,,,,,
HW Hatchbacks,2022,5/5,1999 Honda Civic Type R (EK9),125/250,,New on card,Dima,,,,,
Twenty +,2005,3/5,Boom Box,118,,Used,Dima,,,,,
Demo Destruction 5-pack,2023,,Blind-Sided,,,Used,Dima,,,,,
Corvette 5-pack,2021,,Corvette Stingray,,,Used,Dima,,,,,
Mystery Car,2009,17/24,Rogue Hog,183/190,,Used,Dima,,,,,
HW Exotics 5-pack,2017,,Aston Martin DBS,,,Used,Dima,,,,,
MBX Rescue,2019,11/20,Chevy Blazer 4x4,,,Used,Dima,,,,,
MBX Highway,2024,,Volkswagen ID.4,,,Used,Dima,,,,,
MBX Mickey Mouse Clubhouse 5-pack,2009,,Billboard Truck,,,Used,Dima,,,,,
MBX Construction,2010,1/14,Road Roller,,,Used,Dima,,,,,
MBX Construction,2009,6/7,Dump Truck,,,Used,Dima,,,,,
HW Moto,2017,4/5,Street Stealth,,,Used,Dima,,,,,type:Motorcycle
Matchbox Mainline,1996,,Fire Engine,,,Opened,,,,,,type:Fire truck
MBX EMT 5-pack,2013,,Highway Rescue Fire Truck,,,Used,,,,,,type:Fire truck
Nightspeed,2026,3/10,2018 Honda Civic Type R,11/250,,New on card,Dollar Tree,,,,,
HW Workshop,2014,6/10,1971 Datsun Bluebird 510 Wagon,206/250,2024N,New on card,Dima,,,,,
Factory Fresh,2026,1/5,Porsche 911 Carrera T,15/250,,New on card,Dollar Tree,,,,,
Exoticars,2026,1/10,2016 Lamborghini Centenario Roadster,2/250,,New on card,Dollar Tree,,,,,
Race Day,2025,6/10,McLaren W1,142/250,,New on card,Dollar Tree,,,,,
HW Starting Grid,2026,2/10,1969 Dodge Charger Daytona,23/250,,New on card,Dollar Tree,,,,,
Halloween 4-pack,2013,,Howlin' Heat,,,New in 4-pack,Dima,,,,,
Halloween 4-pack,2013,,Growler,,,New in 4-pack,Dima,,,,,
Halloween 4-pack,2013,,Ratitude,,,New in 4-pack,Dima,,,,,
Halloween 4-pack,2013,,Skull Crusher,,,New in 4-pack,Dima,,,,,
Easter 4-pack,,,Dieselboy,,,New in 4-pack,Dima,,,,,
Easter 4-pack,,,Corvette Stingray,,,New in 4-pack,Dima,,,,,
Street Art,1999,4/4,School Bus,952,,Opened,Flea Market,,,,,type:Bus
MBX Service,2018,2/20,GMC Scenic Cruiser,,,Opened,Flea Market,,,,,type:Bus
MBX City,2025,,EV School Bus,,,Opened,,,,,,type:Bus
MBX Adventure City,2016,,Swift Shuttle,,,Used,Flea Market,,,,,type:Bus
MBX Airport II 5-pack,2025,,Swift Shuttle,,,Opened,Mommy,,,,,type:Bus
HW Art Cars,2025,8/10,Ain’t Fare,88/250,,Opened,,,,,,type:Bus
MBX Adventure City,2014,,Two-Story Bus,,,Opened,Flea Market,,,,,type:Bus
Matchbox Mainline,2025,,GMC 3500 Utility Truck,,,Opened,Dollar Tree,,,,,
MBX Rescue Rookies,2002,5/13,Trash Truck,,,Used,,,,,,
Matchbox Multipack,2008,,Police Car,,,Used,,,,,,
MBX Explorers,2017,,1970 Datsun 510,,,Opened,Dollar Tree,,,,,
MBX Highway,2014,,2012 BMW 3 Series Touring,,,Opened,,,,,,
MBX Adventure,2024,,1980 AMC Eagle,,,Opened,Grandpa,,,,,
MBX Metro,2024,,Audi e-tron,,,Opened,,,,,,
MBX Showroom,2022,,2019 Audi TT RS,,,Opened,,,,,,
MBX Rescue V 5-pack,2025,,Dodge Monaco Police Car,,,Opened,,,,,,Police
MBX Heroic Rescue 5-pack,2013,,Ford Explorer,,,,,,,,,Fire chief
MBX Off-Road,2021,,1965 Land Rover Gen II Safari,,,,,,,,,
Matchbox Mainline,1981,,Mobile Home,,,,,,,,,
MBX Candy Series Mix 2,2025,,Volkswagen Delivery Van,,,Opened,Family Dollar,,,,,Fluffy Stuff
MBX Retro 5-pack,2024,,MBX Field Car,,,Opened,,,,,,
MBX Retro 5-pack,2024,,1990 Volkswagen Golf Country,,,Opened,,,,,,
Matchbox Mainline,1994,,Tailgator,,,Used,Grandpa,,,,,
MBX Rescue,2018,11/20,Chevy Blazer 4x4,,,Opened,,,,,,
MBX Animals,1998,,Rhino Rod,,,Used,Grandpa,,,,,
MBX Airport II 5-pack,2025,,Ford Police Interceptor,,,Opened,Mommy,,,,,
MBX Airport II 5-pack,2025,,Runway Wrangler,,,Opened,Mommy,,,,,
MBX Airport II 5-pack,2025,,Petrol Pumper,,,Opened,Mommy,,,,,
MBX Airport II 5-pack,2025,,Hardnoze,,,Opened,Mommy,,,,,
McDonald’s,2002,,Ford Crown Victoria,,,Opened,Mommy,,,,,
MBX Candy Series Mix 2,2025,6/6,Hummer H2 SUV Concept,,,Opened,,,,,,
HW Dirt,2025,10/10,2015 Land Rover Defender Double Cab,179/250,,Opened,Target,,,,,
HW Starting Grid,2026,1/10,Instant Boost,22/250,,Opened,Target,,,,,
MBX Rescue,2025,,Blaze Blaster III,13/125,T50A,Opened,Walmart,,,,,type:Fire truck
HWMT Trophy Champions,2025,,5 Alarm,,,Opened,Target,,Monster,,,type:Fire truck
Action 5-pack,2024,,Slide Kick,,,Used,Found,,,,,
MBX Japan Origins,2022,2/12,1976 Honda Civic CVCC,,R12A,New on card,Marketplace,,,,,
MBX Japan Origins,2022,3/12,2008 Honda Civic Type R,,R12A,New on card,Marketplace,,,,,
Factory Fresh,2021,3/10,Honda Civic Si,63/250,10-20,New on card,Marketplace,,,,,
HW J-Imports,2021,6/10,2018 Honda Civic Type R,186/250,03-21,New on card,Marketplace,,,,,
HW Moto,2019,3/5,Honda Monkey Z50,115/250,,New on card,Marketplace,,TH,,,type:Motorcycle
HW Moto,2016,5/5,Honda Monkey Z50,135/250,1576N,New on card,Marketplace,,,,,type:Motorcycle
HW Glow Wheels,2018,3/10,Aristo Rat,231/250,,New on card,Marketplace,,,,,Glow in the dark
Peanuts,2017,2/6,Altered Ego,,K22,Opened,Marketplace,,,,,Charlie Brown
HW Dirt,2025,6/10,2020 Jeep Gladiator,130/250,,Opened,Target,,,,,
HW Ride-Ons,2025,3/5,Draggin’ Wagon,68/250,,Opened,,,,,,
MBX Adventure,2025,,1966 Land Rover Gen II,82/125,U28A,Opened,Dollar Tree,,,,,
HW Modified,2024,9/10,Pontiac Aztec Custom,111/250,,Used,,,,,,
MBX Showroom,2024,,1964 Lincoln Continental,,,Used,Goodwill,,,,,
MBX Highway,2024,,Karma GS-6,,,Used,Goodwill,,,,,
HW the 90s,2024,7/10,1991 GMC Syclone,226/250,,Used,Goodwill,,,,,
Race Day,2025,7/10,2018 Bentley Continental GT3,162/250,,Opened,Grandpa,,,,,
Nightspeed,2026,1/10,1987 Buick Regal GNX,9/250,,New on card,Dollar Tree,,TH,,,
Matchbox Hero City: Hospital,2003,4/5,Ford Transit Van,14,,New on card,Debbie & Mindy,,,,,
Matchbox Hero City,2004,,Extending-Ladder Fire Truck,4,,New on card,Debbie & Mindy,,,,,
Matchbox Hero City,2004,,All-Terrain Fire Tanker,67,,New on card,Debbie & Mindy,,,,,type:Fire truck
MBX Airport Alarm,2002,4/4,Dennis Sabre Fire Truck,44/75,,New on card,Debbie & Mindy,,,,,type:Fire truck
MBX Airport Alarm,2002,2/4,Mack Auxiliary Power Truck,42/75,,New on card,Debbie & Mindy,,,,,type:Fire truck
MBX Ultimate Rescue,2002,3/4,Fire Hovercraft,35/75,,New on card,Debbie & Mindy,,,,,
MBX Ultimate Rescue,2002,1/5,Hummer H1 Police,33/75,,New on card,Debbie & Mindy,,,,,
Track Champs,2025,5/5,Triumph TR6,249/250,,New on card,Target,,TH,,,
HW Moto,2023,3/5,Honda Super Cub,87/250,,Opened,Ace Hardware,,,,,
HW Extreme Sports,2024,2/5,Surf’s Up,17/250,,Opened,Ace Hardware,,,,,
Halloween Series,2025,1/5,Hollowback,,,Opened,Gina,,,,,
HW 70s vs 90s,2025,5/10,BMW 2002,77/250,,Opened,Gina,,,,,
First Response,2025,5/5,Rapid Pulse,137/250,,Opened,Gina,,,,Rapid Pulse (First Response 2025) [blue].jpeg,
HW Dream Garage,2025,2/5,Mazda MX-5 Miata,1/250,,Opened,Gina,,,,Mazda MX-5 Miata (HW Dream Garage 2025) [green].jpeg,Hot Wheels Legends Tour
HW Dirt,2025,5/10,1975 Chevy Blazer Custom,115/250,,Opened,Gina,,,,1975 Chevy Blazer Custom (HW Dirt 2025) [white].jpeg,
80th Anniversary Series,2025,,Mattel Dream Mobile,,,Opened,Gina,,,,,
MBX Metro,2026,,2024 Honda Civic Type R,,,New on card,Walmart,,,,,
Super Rigs,2024,,Scrubba Dub Driver + Duck N’ Roll,,,Opened,Grandpa,,,,,
Cool Classics,2013,2/30,Blastous Moto,,F23,Opened,Grandpa,,,,,Spectrafrost / Retro Riders / type:Motorcycle
HW Drag Strip 5-pack,2024,,1988 Ford T-Bird,,,Opened,Grandpa,,,,,
HW Drag Strip 5-pack,2024,,1962 Corvette Gasser,,,Opened,Grandpa,,,,,
HW Drag Strip 5-pack,2024,,Hot Wired,,,Opened,Grandpa,,,,,
HW Drag Strip 5-pack,2024,,Nitro Doorslammer,,,Opened,Grandpa,,,,,
HW Drag Strip 5-pack,2024,,Mustang Funny Car,,,Opened,Grandpa,,,,,Moon Eyes
HW Stunt,2012,41/50,Blastous,41/247,2112N,Opened,Grandpa,,,,,type:Motorcycle
Pro Racing,2002,,Ford Taurus Stocker,,,Used,Dima,,,,,
Nightburnerz 5-pack,2025,,Subaru WRX STI,,,Opened,Grandpa,,,,,
Nightburnerz 5-pack,2025,,2020 Toyota GR Supra,,,Opened,Grandpa,,,,,
Nightburnerz 5-pack,2025,,1987 Ford Sierra Cosworth,,,Opened,Grandpa,,,,,
Nightburnerz 5-pack,2025,,Nissan Maxima Drift Car,,,Opened,Grandpa,,,,,
Nightburnerz 5-pack,2025,,Dimachinni Veloce,,,Opened,Grandpa,,,,,
Track Aces,2025,2/5,Dune It Up,92/250,,Opened,Mommy,,,,,
Experimotors,2026,3/5,Roller Toaster,39/250,,Opened,Target,,,,,
HW Heavyweights,2026,1/5,5 Alarm,32/250,,Opened,Target,,,,,type:Fire truck
Safari Mode,2025,1/5,Lamborghini Huracan Sterrato,41/250,,Opened,Grandpa,,,,Lamborghini Huracan Sterrato (Safari Mode 2025) [yellow].jpeg,
57th Anniversary Mix 2,2025,2/6,Mod Speeder,,,Opened,Grandpa,,,,,
Mattel,2026,1/5,Barbie Dream Camper,21/250,,Opened,Walmart,,,,,
HW Heavyweights,2026,3/5,Raijin Express,57/250,,Opened,Walmart,,,,,
Experimotors,2025,10/10,Shark Bite,229/250,,Opened,Lidl,,TH,,,
Factory Fresh,2026,1/5,Porsche 911 Carrera T,15/250,,New on card,Walmart,,ZAMAC,1,Porsche 911 Carrera T (Factory Fresh 2026 ZAMAC).jpeg,
HW Starting Grid,2026,3/10,Track Ripper,24/250,,New on card,Walmart,,ZAMAC,,Track Ripper (HW Starting Grid 2026 ZAMAC).jpeg,
HW Dirt,2025,9/10,2017 Ford F-150 Raptor,178/250,,New on card,Walmart,,ZAMAC,,2017 Ford F-150 Raptor (HW Dirt 2025 ZAMAC).jpeg,
Drop Tops,2026,1/5,Pass 'N Go,5/250,,Opened,Dollar Tree,,,,,Monopoly
Experimotors,2026,1/5,Carbonator,12/250,,Opened,Dollar Tree,,,,,
X-Raycers,2026,2/5,X-Steam,30/250,,Opened,Target,,,,,
HW EV,2026,4/10,Wattzup,35/250,,Opened,Dollar Tree,,,,,
HW EV,2026,5/10,Electro Silhouette,58/250,,Opened,Target,,TH,,,
Experimotors,2025,1/10,Slide Kick,116/250,,Opened,Dollar Tree,,,,,
MBX Metro,2026,,Coast 2 Coast,3/125,,Opened,Dollar Tree,,,,,
MBX Construction,2026,,MBX Gritter Kkng,13/125,,Opened,Dollar Tree,,,,,
MBX Construction,2026,,2015 Ford F150 Contractor Truck,18/125,,Opened,Dollar Tree,,,,,
Sweet Rides,2026,1/5,Donut Drifter,54/250,,Opened,Dollar Tree,,,,,
HW Race Day,2025,9/10,1994 Bugatti EB110 SS,221/250,,New on card,Dollar Tree,,$TH,0,,
57th Anniversary Mix 2,2025,2/6,Mod Speeder,,,Opened,Grandpa,,,,,
Batman,2025,1/5,Batmobile,4/250,,Opened,Grandpa,,,,,
Safari Mode,2025,1/5,Lamborghini Huracan Sterrato,41/250,,Opened,Grandpa,,,,,
Nightspeed,2026,2/10,2020 Ford Mustang Shelby GT500,10/250,,Opened,Grandpa,,,,,
HW EV,2025,8/10,Custom Kia EV6,120/250,,Opened,Grandpa,,,,,
70s vs 90s,2025,5/10,BMW 2002,77/250,,Opened,Grandpa,,,,,
Batman,2025,3/5,TV Series Batmobile,103/250,,Opened,Grandpa,,,,,
Tooned Golf,2025,4/5,Manga Tuner,,,Opened,Grandpa,,Silver,,,Tooned
Hybrid Speed,2025,4/5,Porsche Panamera Turbo S E-Hybrid Sport Turismo,,,Opened,Grandpa,,Silver,,,
Spider-Man,2026,2/5,Ground FX,,039A,Opened,Mommy,,Silver,,,Marvel
Mainline,1997,,Flame Stopper II,617,,Opened,Flea Market,,,,,type:Fire truck
MBX Fire Rescue,1999,2/5,Mack Auxiliary Power Truck,,,Opened,Flea Market,,,,,type:Fire truck
MBX Rescue,2019,14/20,Seagrave Fire Engine,,,Opened,Flea Market,,,,,type:Fire truck
1998 First Editions,1998,9/26,Tee’d Off,,,Opened,Flea Market,,,,,
Mainline,2006,,Torpedo Jones,162,,Opened,Flea Market,,,,,
Rebel Rides,2005,1/5,Outsider,076,,Opened,Flea Market,,,,,
Color Shifters,2025,,Nissan Skyline GT-R [R32],,,Opened,Trade,,,,,u/itsghettohere
HW Dirt,,,Mercedes-Benz Unimog 1300L,,,New on card,Trade,,,,,u/Biggie227
ZAMAC Themed Multipack,2025,,Porsche 928S Safari,,,New in box,Trade,,ZAMAC,,,u/Biggie227
ZAMAC Themed Multipack,2025,,2008 Ford Focus,,,New in box,Trade,,ZAMAC,,,u/Biggie227
ZAMAC Themed Multipack,2025,,Toyota AE86 Sprinter Trueno,,,New in box,Trade,,ZAMAC,,,u/Biggie227
ZAMAC Themed Multipack,2025,,2012 Mercedes-Benz C 63 AMG Coupe Black Series,,,New in box,Trade,,ZAMAC,,,u/Biggie227
ZAMAC Themed Multipack,2025,,BMW Z4 M Motorsport,,,New in box,Trade,,ZAMAC,,,u/Biggie227
MBX City,2025,68/125,Express Delivery UPS,,,New on card,Trade,,,,,u/Remarkable-Ad9880
MBX Sky Busters,2025,9/32,Boeing 747-400 UPS,,,New on card,Trade,,,,,u/Remarkable-Ad9880
Mainline,1999,,Rail Rodder,1043,,Opened,Flea Market,,,,,type:Train
HW Metro,2022,5/10,Loco Motorin’,31/250,,Opened,Flea Market,,,,,type:Train / Best for Track
X-Raycers,2021,2/5,Loco Motorin’,99/250,,Opened,Flea Market,,,,,type:Train / Best for Track
MBX Adventure City,2016,1/125,Heavy Railer,,,Opened,Flea Market,,,,,type:Train
Virtual Collection,2000,,Fathom This,152,,Opened,Flea Market,,,,,type:Submarine
Virtual Collection,2000,,Recycling Truck,143,,Opened,Flea Market,,,,,
Biohazard Series,1998,3/4,Recycling Truck,719,,Opened,Flea Market,,,,,
2007 All Stars,2007,,Invader,142/180,,Opened,Flea Market,,,,,type:Tank
Mainline,1999,,Hot Seat,999,,Opened,Flea Market,,,,,
